start	end	text
0	16560	ครับ สวัสดีครับ สวัสดี เอ่อ นักคงทุนทุกท่านนะครับ
16560	20280	แล้วก็ เอ่อ คุณชมทุกท่านนะครับ วันนี้ก็เป็นวัน เอ่อ
20280	25380	Obscurity Day นะครับ ที่ผมจะรายงาน เอ่อ ต่อการล่าสุดนะครับ
25380	28560	เรื่องเจ้าร่าสุดในไซม่าสองนะครับ แล้วก็ เอ่อ
28560	34080	อัปเดตเรื่องสถานการณ์ของ บริษัทอินเตอร์ฟาร์มา นะครับ
34080	37620	เอ่ย ไม่เรียน
43680	47140	เห็นไหมครับ โทษที
52800	55360	ครับ ก็ เอ่อ วิสัยทัศน์ของบริษัท
55360	58720	นะครับ ก็ เราต้องการเป็นผู้นําผิดผัดสุขภาพแบบ
58720	61840	ครบวงจรนะครับ ทั้งของคน แล้วก็ของสัตว์จากต้นน้ํา
61840	64720	ยันใจปลายน้ํา นะครับ ก็ความว่า
64720	68960	สุขภาพแบบครบวงจรก็พูดให้ฟังนะครับว่า ว่าก็เป็นยัง
68960	73380	ไงนะครับ แล้วก็จาก ต้นน้ํา เป็นปลายน้ําเป็นยังไงนะค่ะ
73380	79620	สําหรับข้อพงจรคลิปทางสุขภาพในวิสัยทางของบันทึกก็คือว่า
79860	83900	ก็หมายความว่า ทั้งแต่ที่หัวประโยชน์นี้เลยนะครับ
83900	85660	ก็คือเรื่องเกี่ยวกับวัตกรรม
85660	87220	ตอนนี้งานของผมที่แสดง nem cignec ที่ทำหลัก ๆ ก็คือเป็นการ
89420	91500	ไปอาหารนวัตนกรรมใหม่ ๆ นะครับ
91580	94060	ในการรักษาและการท başka напрี่อย่างการป้องกันโลกนะครับ
94060	97480	ส่วนต่อมาก็จะเป็นเรื่องของยา
97480	104400	ซึ่งปัจจุบันเรามีโรงงานยาของโ lnia mini ที่ผลิตยาที่เรียกว่า generic ทรมาน Mexico ที่เป็น generalized
104400	108740	滿ุษย์ธาตุ และORT
108740	115000	ซึ่งมันเป็นต้องกลาง ระหว่างอาหารเสริมกับยาที่เรียกว่าucharana-3
115000	120940	แล้วก็ระหว่างเครื่องส
120940	125180	หรือไม่ใช่สำอางนะครับ แล้วก็หมายงวงถึงเรื่องของเกี่ยวกับ
125180	128940	Healthy Food, Healthy Drink, Healthy Snack นะครับ
128940	135500	แล้วก็ Personal Care นี่ก็ยังอยู่ในสโคปที่ทางบริษัทจะดำเนินธุรกิจนะครับ
135500	140380	เพราะว่าผมเองก็มีความเชื่อว่า ที่ทานสุขภาพอย่างเช่นอาหารเนี่ย
140380	144460	อนาคตมันอาจจะแท็กเกิ้ลกันตั้งแต่การที่เรารับประทานอาหาร
144460	148820	อาหารที่เราทาน อะไรต่างๆ เนี่ย ก็คนก็จะเริ่มใส่ใจเรื่องว่า
148820	155860	อาหารที่ทานจะต้องปลอดภัยแล้วก็ดีต่อสุขภาพ โดยทั้งเครื่องดื่ม และของทานได้ถูกนะครับ
156780	161900	พูดถึง Pharmaceuticals นะครับ อันนี้ก็จะเป็นตัวอย่างของยาที่
161900	168440	โรงงานเราผลิตจากทั้ง 2 โรงงานหนึ่งที่สมบัติประจานที่ภายใต้ชื่อบริษัทย่อยที่ชื่อว่า Modern Pharma
168440	173740	แล้วก็โรงงานที่ชื่อ Inter Pharma ที่อยู่สมุทรอยุธยา
173740	179840	ที่อยู่ในศพศาสตร์ความลดชนะ 2 อย่างเช่น Zinc เป็นยารถไขมัน Metformin ก็เป็นยาประหว่าง
179840	184940	Zinc ก็คือยาแค่แพ้แบบไม่ง่วง Allotap ก็เป็นยาแค่แพ้แบบไม่ง่วงอีกกลุ่มหนึ่ง
184940	189120	ซึ่ง 2 กลุ่มนี้ก็เป็นปัจจุบันแพทย์ก็จะใช้กันอยู่
189120	191740	Velocon ก็เป็นยารักษาโรคเริ่ม
191740	197200	ทางด้านขวาก็จะเป็นตัวอย่างของยาที่ผลิตที่สมุทรภาคการณ์
197200	203120	ปัจจุบันสาปตัวนี้เราก็มีแผนในการที่จะทำให้มันเป็น OTC แบรนด์
203120	207200	ที่จะเป็นยาที่ใช้กันอย่างห้าหลายในร้านขายา
207200	211640	อย่างเช่น Vela-Pharan เป็นยาสามัญประจำบ้าน
211640	218040	ที่เราพึ่งพบอยู่โฆษฎาที่มีคนอ้ามเป็นพรีเซนเตอร์
218040	223400	ส่วนโรงงานอายุทยาเราก็จะผลิตที่น่าจะเป็นยอดของคนละมิตร
223400	225360	ที่เป็นกลุ่มที่เรียกว่ายาตาร์
225360	227720	ซึ่งยาตาร์ก็อย่างที่เคยเรียนได้มองคือนักบางครั้ง
227720	235040	เพราะว่ายาตาร์ในเมืองไทยมีโรงงานที่สามารถผลิตยาตาร์ได้ไม่กี่โลม
