true_text,pred_text
สวัสดีครับ,สวัสดีครับ
สวัสดีครับ,สวัสดีครับ
ขอต้อนรับลงทุนนะครับ เข้าสู่งาน,เราจะรับร่วมทุนเข้าสู่งาน
opportunity day นะครับ,พอทุกอย่างดีๆได้ไงนะครับ
ผมนัท ณัฐสิทธิ์,นัดเช็ดนะครับ
นะครับ เป็นนักลงทุนนะครับ,เป็นนักฟูทุนนะครับ
ส่วนท่านนี้เป็นคุณวิรัช,ส่วนท่านนี้เป็นคุณวิรัติ
รอบรับทําเป็น gfo ครับ,แล้วเราถามเป็น GFO ครับ
สวัสดีครับ,สวัสดีครับ
ครับ ขอบคุณทางตลาดนะครับ,ขอบคุณทางตลาดนะครับ
ที่ให้โอกาสทางบริษัท,ให้โอกาสทางบริษัท
กลุ่มบริษัท ทริพเพิลไอ,ผมบอกว่า ที่ประแยร์
โลจิสติกส์ จํากัด มหาชน,ที่จะเต็มกัดมา
นะครับ ได้มา,ได้มา
แจ้งเรื่องผลประกอบการของกลุ่มธุรกิจนะครับในรอบเก้าเดือนแล้วก็ไตรมาสที่สามประจําปี2566 นะครับนะครับก่อนอื่นก็เริ่มอาร์เจนด้านะครับจะให้ทางคุณณัฐสิทธิ์ซึ่งเป็นฝ่ายนักลงทุนสัมพันธ์ของเรานะครับได้มาแจ้งเรื่องข้อมูลว่ากลุ่มธุรกิจของทริพเพิลไอ,เรื่องผลประกอบการของกลุ่มธุรกิจในรอบ 9 เดือน และตรายมาที่ 3 ประจำปี 2066คนอื่นก็เริ่ม Magenda จะให้ทางคุณนัตตาศิษย์ซึ่งเป็นฝ่ายดังรูปสูตรสัมพันธ์ของเราได้แจ้งเรื่องข้อมูลว่ากลุ่มธุรกิจของที่ไป
โลจิสติกส์จํากัดมหาชนได้ทําเกี่ยวกับอะไรบ้าง,วิธีศิษย์จำกัดมหาชนได้ทำเกี่ยวอะไรบ้าง
รวมทั้งมีไทม์ไลน์เกี่ยวกับเรื่อง,ต้องมี timeline เกี่ยวกับเรื่อง
ตั้งแต่เข้าตลาดนะครับ,แต่เข้าตลาดนะครับ
เพื่อเป็นข้อมูลสําหรับนักลงทุนที่สนใจนะครับ,เป็นข้อมูลสำหรับนักลงทุนที่สนใจนะครับ
ก็ให้ทางคุณทักษิณ,อ๋อ ให้ทางคุณแดทเซ็นต์
ส่วนของผมเองจะไป,อย่างผมพอเป็น
